Value,RefDes,Footprint,LCSC P/N
100uF,"C1, C11",SMD-ECAP-6.3x5.3,C134723
100nF,"C2, C3, C4, C6, C7, C9, C12, C13, C14, C15, C22, C25",402,C307331
22nF,"C5, C16",402,C1532
4.7uF,"C8, C21",603,C69335
10uF 50V,C10,1206,C100122
2.2uF 50V,"C17, C18",805,C49217
47uF 6.3V,"C19, C20",805,C16780
39pF 50V,C23,402,C106223
6.8nF 50V,C24,402,C152792
40V 3A,D1,SMA(DO-214AC),C64982
B560C,D2,SMC(DO-214AB),C35722
19S,"J1, J2, J3",Through hole,C319202
3P,J4,Through hole,C49257
DC Jack,J9,Through Hole,C84007
,J7,,C84007
10uH,L1,"SMD,5.2x5.4x3.0mm",C408408
GRN,LED1,,C84257
,"MH1, MH2, MH3, MH4",Mounting Hole,
10k,"R1, R16, R17, R18, R20",402,C60490
100R,"R2, R3",402,C106232
0.11R,"R4, R5, R11, R12",1206,C247458
2k,R6,402,C4109
270k,R7,402,C25770
100k,R8,402,C25741
13k,R9,402,C25754
51k,R10,402,C25794
1k,"R13, R14, R15, R19",402,C11702
Micro SD,SD1,SD,C91145
4P,"TB1, TB2, TB3, TB4, TB5",Through Hole,C577596
TMC2209,"U1, U2",QFN-28_EP_5.0x5.0x0.5P,C465949
TPS54360,U3,SOP-8_EP_150mil,C44377
AHCT125,U4,TSSOP-14_4.4x5.0x0.65P,C36365