Designator,Mid X,Mid Y,Layer,Rotation
C1,52.689,40.98,Top,180
C2,66.087,35.869,Top,180
C3,66.087,46.369,Top,180
C4,59.38,45.07,Top,90
C5,60.622,45.314,Top,270
C6,25.885,59.371,Top,0
C7,22.541,59.371,Top,180
C8,57.612,43.496,Top,270
C9,60.371,36.829,Top,180
C10,13.175,20.001,Top,90
C11,52.689,56.069,Top,180
C12,66.087,50.769,Top,180
C13,66.04,61.648,Top,180
C14,59.421,60.108,Top,90
C15,66.941,18.792,Top,0
C16,60.609,60.285,Top,270
C17,59.259,13.279,Top,0
C18,59.259,15.503,Top,0
C19,61.66,29.486,Top,0
C20,61.66,27.286,Top,0
C21,57.625,59.034,Top,270
C22,60.482,51.91,Top,180
C23,70.505,14.048,Top,180
C24,71.849,14.536,Top,90
C25,34.47,56.673,Top,0
D1,13.175,28.732,Top,90
D2,66.332,22.427,Top,180
J1,20.795,34.13,Top,90
J2,18.255,34.13,Top,90
J3,43.655,34.13,Top,90
J4,59.53,66.515,Top,180
J7,52.315,18.08,Top,90
J9,56.99,29.685,Top,90
L1,66.332,28.257,Top,180
LED1,69.417,32.543,Top,0
R1,45.662,44.919,Top,270
R2,25.875,60.482,Top,180
R3,22.541,60.482,Top,0
R4,68.788,44.369,Top,180
R5,68.788,37.769,Top,180
R6,66.197,32.543,Top,0
R7,66.504,11.948,Top,180
R8,63.023,11.948,Top,180
R9,70.508,15.009,Top,180
R10,68.485,11.95,Top,180
R11,68.788,59.33,Top,180
R12,68.788,52.833,Top,180
R13,23.176,31.59,Top,180
R14,41.115,31.59,Top,0
R15,41.115,27.939,Top,0
R16,23.176,30.638,Top,0
R17,41.115,30.32,Top,180
R18,41.115,26.827,Top,180
R19,38.194,26.891,Top,0
R20,36.289,26.891,Top,0
SD1,32.449,17.81,Top,90
TB1,77.223,40.988,Top,90
TB2,77.223,56.101,Top,90
TB3,22.065,67.825,Top,180
TB4,34.765,67.825,Top,180
TB5,47.465,67.825,Top,180
U1,61.487,41.069,Top,270
U2,61.487,56.069,Top,270
U3,65.465,15.128,Top,270
U4,31.59,53.656,Top,0